id,title,picture,author,year,language,description,pages,availability,issued,ISBN,category
12,"The Judge's List",https://www.books.lk/wp-content/uploads/2021/10/Judges-list.jpg,"John Grisham",2021,en,"In The Whistler, Lacy Stoltz investigated a corrupt judge who was taking millions in bribes from a crime syndicate. She put the criminals away, but only after being attacked and nearly killed. Three years later, and approaching forty, she is tired of her work for the Florida Board on Judicial Conduct and ready for a change.

Then she meets a mysterious woman who is so frightened she uses a number of aliases. Jeri Crosbyâ€™s father was murdered twenty years earlier in a case that remains unsolved and that has grown stone cold. But Jeri has a suspect whom she has become obsessed with and has stalked for two decades. Along the way, she has discovered other victims.",1,4,2,593168534,oth
13,"How to Catch a Turkey",https://images-na.ssl-images-amazon.com/images/I/81XAu0N96KL.jpg,"Adam Wallace",2018,en,"A turkey is running loose in a school right before a Thanksgiving play. Can YOU help catch it so the show can go on? Follow along as students turn their school upside down trying to catch the turkey, ending with a twist that ensures no turkeys are harmed (or eaten!). This hilariously zany children's picture book combines STEAM concepts and traps with a silly story and fun illustrations, perfect for starting a new holiday family tradition or giving as a Thanksgiving gift for kids ages 4 and up!",3,4,1,9781490000000,oth
14,"Out of My Mind",https://images-na.ssl-images-amazon.com/images/I/61PLvXIiNIL.jpg,"Sharon M. Draper",2010,en,"Eleven-year-old Melody is not like most people. She canâ€™t walk. She canâ€™t talk. She canâ€™t write. All because she has cerebral palsy. But she also has a photographic memory; she can remember every detail of everything she has ever experienced. Sheâ€™s the smartest kid in her whole school, but NO ONE knows it. Most peopleâ€”her teachers, her doctors, her classmatesâ€”dismiss her as mentally challenged because she canâ€™t tell them otherwise. But Melody refuses to be defined by her disability. And sheâ€™s determined to let everyone know itâ€¦somehow.",2,4,3,9781420000000,oth
15,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI",https://images-na.ssl-images-amazon.com/images/I/814hn1Oe44L.jpg,"David Grann",2017,en,"In the 1920s, the richest people per capita in the world were members of the Osage Indian nation in Oklahoma. After oil was discovered beneath their land, they rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.
      Then, one by one, the Osage began to be killed off. The family of an Osage woman, Mollie Burkhart, became a prime target. Her relatives were shot and poisoned. And it was just the beginning, as more and more members of the tribe began to die under mysterious circumstances.",1,5,2,9780310000000,oth
16,Chanel,https://images-na.ssl-images-amazon.com/images/I/81jR3z7fycL.jpg,"DaniÃ¨le Bott",2005,en,"Chanel's combination of tradition, originality and style has always made it the most seductive of brands. Here the House of Chanel opens its private archives, revealing a galaxy of brilliant designs created by Coco Chanel from the 1920s onwards, and now reinterpreted to become the motifs for brand new garments, accessories and beauty products.

Inspired by the House's signature fragrance, the legendary â€˜Chanel No 5â€™, the book explores five central themes â€“ the suit, the camellia, jewelry, fragrances and make-up, and the little black dress â€“ and follows the threads from past to present to show how these key items have been rediscovered and reinvented by fashion designers working in the footsteps of their illustrious predecessors. This visual journey is enhanced by previously unpublished archive photographs and original drawings by Karl Lagerfeld, as well as glorious images from some of the greatest names in fashion photography.",2,4,1,9780500000000,oth
17,"Louis Vuitton: The Birth of Modern Luxury",https://images-na.ssl-images-amazon.com/images/I/91o0uwYEUWL.jpg,"Paul-GÃ©rard Pasols",2005,en,"When Louis Vuitton: The Birth of Modern Luxury was published in 2004, the book was the first to describe the dramatic rise of the worldâ€™s finest luxury company. Written with full access to the companyâ€™s archives, it demonstrates Louis Vuittonâ€™s passion for fine design with a stunning array of archival art, product designs, and cutting-edge advertising. The company is examined through the lives of its first three leadersâ€”founder Louis (who invented the modern trunk), his son Georges, and his grandson Gaston.",1,4,1,9781420000000,oth
18,"A Man & His Watch: Iconic Watches and Stories from the Men",https://market.su-wan.com/wp-content/uploads/sites/7/2021/09/71lQtgS1S4L.jpg,"Matt Hranek",2017,en,"Paul Newman wore his Rolex Daytona every single day for 35 years until his death in 2008. The iconic timepiece, probably the single most sought-after watch in the world, is now in the possession of his daughter Clea, who wears it every day in his memory. Franklin Roosevelt wore an elegant gold Tiffany watch, gifted to him by a friend on his birthday, to the famous Yalta Conference where he shook the hands of Joseph Stalin and Winston Churchill. JFKâ€™s Omega worn to his presidential inauguration, Ralph Laurenâ€™s watch purchased from Andy Warholâ€™s personal collection, Sir Edmund Hillaryâ€™s Rolex worn during the first-ever summit of Mt. Everest . . . these and many more compose the stories of the worldâ€™s most coveted watches captured in A Man and His Watch.",3,2,2,9781580000000,oth
19,"Cracking the Coding Interview: 189 Programming Questions and Solutions 6th Edition",https://www.ubuy.com.lk/productimg/?image=aHR0cHM6Ly9pbWFnZXMtbmEuc3NsLWltYWdlcy1hbWF6b24uY29tL2ltYWdlcy9JLzQxb1lzWGpMdlpMLl9TUzQwMF8uanBn.jpg,"Gayle Laakmann McDowell",2020,en,"Available at a lower price from other sellers that may not offer free Prime shipping.
I am not a recruiter. I am a software engineer. And as such, I know what it's like to be asked to whip up brilliant algorithms on the spot and then write flawless code on a whiteboard. I've been through this as a candidate and as an interviewer.

Cracking the Coding Interview, 6th Edition is here to help you through this process, teaching you what you need to know and enabling you to perform at your very best. I've coached and interviewed hundreds of software engineers. The result is this book.",1,3,1,9780980000000,oth
20,"Stock Trader's Almanac 2022 (Almanac Investor Series) 17th Edition",https://target.scene7.com/is/image/Target/GUEST_89bc0a24-25b5-42b1-8c95-5a7e88636159?wid=488&hei=488&fmt=pjpeg,"Jeffrey A. Hirsch",2021,en,"Created by Yale Hirsch in 1967,  the Stock Trader's Almanac has delivered money-making insights and strategies to investors for more than six decades. The Almanac originated such important market phenomena as the ""January Barometer"" and the ""Santa Claus Rally"" and was instrumental in popularizing other tradable strategies, such as ""The Best Six Months Strategy"" (commonly known as ""Sell in May and Go Away"") and the four-year Presidential Election Cycle.",1,3,1,9781120000000,oth
21,"The Christmas Pig","https://images-na.ssl-images-amazon.com/images/I/51rg5EDPpDL._SX336_BO1,204,203,200_.jpg","J. K. Rowling",2021,en,"Jack loves his childhood toy, Dur Pig. DP has always been there for him, through good and bad. Until one Christmas Eve something terrible happens -- DP is lost. But Christmas Eve is a night for miracles and lost causes, a night when all things can come to life... even toys. And Jackâ€™s newest toy -- the Christmas Pig (DPâ€™s replacement) -- has a daring plan: Together theyâ€™ll embark on a magical journey to seek something lost, and to save the best friend Jack has ever known...",4,3,1,9781440000000,oth
22,"The Pioneer Woman Cooksâ€•Super Easy!: 120 Shortcut Recipes for Dinners, Desserts, and More",https://images-na.ssl-images-amazon.com/images/I/815lWq3j-tS.jpg,"Ree Drummond",2020,en,"Between my family, my website, my cookbooks, and my TV show, I make a lot of food around here! And as much as Iâ€™ve always loved cooking (and of course, eating!), it seems that more and more these days, Iâ€™m looking for ways to simplify my life in the kitchen. I find myself gravitating toward recipes that are delicious but donâ€™t require a lot of prep or fuss, because they free me up to have more time (and energy) for other areas of my life. This also makes cooking less of a chore and more of a pleasureâ€”exactly what cooking should be!",1,4,1,9780060000000,oth
23,MOX,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781637580387/mox-9781637580387_hr.jpg,"Jon Moxley",2021,en,"Ride alongside Jon Moxley as he retraces some of the highways traveled on his remarkable journey. Revel in the never-before-told stories about his early life in Cincinnati, Ohio; the gritty independent wrestling scene where he cut his teeth; the complicated corporate landscape of the WWE where he bucked against authority; and the rebellious upstart AEW, where he won the championship in 2020 and was finally free to achieve the vision of the wrestler heâ€™d always wanted to be.",2,5,2,9781640000000,oth
24,"Cat Kid Comic Club: Perspectives",https://images-na.ssl-images-amazon.com/images/I/81vdWnFQUYL.jpg,"Dav Pilkey",2021,en,"Flippy, Molly, Li'l Petey, and twenty-one baby frogs each have something to say. Naomi and Melvin don't see eye to eye and Poppy perceives the world differently than her siblings. Will the baby frogs figure out how to work together and appreciate one another's point of view -- both inside and outside the classroom?",3,4,1,9781340000000,oth
25,"Baking with Dorie: Sweet, Salty & Simple",https://images-na.ssl-images-amazon.com/images/I/A1MQi99zIDL.jpg,"Dorie Greenspan",2021,en,"Say â€œDorie Greenspanâ€ and think baking. The renowned author of thirteen cookbooks and winner of five James Beard and two IACP awards offers a collection that celebrates the sweet, the savory, and the simple. Every recipe is signature Dorie: easyâ€”beginners can ace every technique in this bookâ€”and accessible, made with everyday ingredients. Are there surprises? Of course! Youâ€™ll find ingenious twists like Berry Biscuits. Footlong cheese sticks made with cream puff dough. Apple pie with browned butter spiced like warm mulled cider. A sâ€™mores ice cream cake with velvety chocolate sauce, salty peanuts, and toasted marshmallows. Itâ€™s a book of simple yet sophisticated baking. The chapters are classic: Breakfast Stuff â€¢ Cakes â€¢ Cookies â€¢ Pies, Tarts, Cobblers and Crisps â€¢ Two Perfect Little Pastries â€¢ Salty Side Up. The recipes are unexpected. And there are â€œSweetheartsâ€ throughout, mini collections of Dorieâ€™s all-time favorites. Donâ€™t miss the meringue Little Marvels or the Double-Decker Caramel Cake. Like all of Dorieâ€™s recipes, they lend themselves to being remade, refashioned, and riffed on.",2,3,1,9780360000000,oth
26,"Big Shot Diary of a Wimpy Kid",https://m.media-amazon.com/images/P/B08XY2XLFK.01._SCLZZZZZZZ_SX500_.jpg,"Jeff Kinney",2021,en,"After a disastrous field day competition at school, Greg decides that when it comes to his athletic career, heâ€™s officially retired. But after his mom urges him to give sports one more chance, he reluctantly agrees to sign up for basketball.

Tryouts are a mess, and Greg is sure he wonâ€™t make the cut. But he unexpectedly lands a spot on the worst team.

As Greg and his new teammates start the season, their chances of winning even a single game look slim. But in sports, anything can happen. When everything is on the line and the ball is in Gregâ€™s hands, will he rise to the occasion? Or will he blow his big shot?",3,4,1,9781420000000,oth
27,"The Hero and the Crown",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509395718l/36505530._SY475_.jpg,"Robin McKinley",1984,en,"This story focuses on ""Aerin Dragon-Killer"", also known as ""Aerin Firehair"", the heroine who is introduced as a legendary character in The Blue Sword. The book narrates Aerin's evolution from the shy, retiring daughter of the King of Damar to the heroic queen who protects her people from the demonic Northerners.",240,3,2,9780440000000,oth
28,"It's Kind of a Funny Story",https://upload.wikimedia.org/wikipedia/en/e/e1/Funnystory.png,"Ned Vizzini",2006,en,"An ambitious new student at Manhattan's prestigious Executive Pre-Professional High School, Craig Gilner suddenly discovers that he has become an average kid among a group of brilliant students, a discovery that leads to increasing anxiety and a battle with clinical depression, during which he encounters a motley crew of fellow patients battling their own problems.",464,4,4,9780790000000,oth
29,"The Gemma Doyle Trilogy",https://static.wikia.nocookie.net/doyle/images/9/93/Gemma_Doyle_by_aberry89.jpg/revision/latest/top-crop/width/360/height/450?cb=20200826085801,"Libba Bray",2003,en,"After the suspicious death of her mother in 1895, 16-year-old Gemma returns to England, after many years in India, to attend a finishing school. There, she becomes aware of her magical powers and ability to see into the spirit world. But what will she find in that strange world?",432,3,3,9780390000000,oth
30,"The House on Mango Street",https://www.chipublib.org/wp-content/uploads/sites/3/2013/10/house-on-mango-street.jpg,"Sandra Cisneros",1984,en,"For Esperanza, a young girl growing up in the Hispanic quarter of Chicago, life is an endless landscape of concrete and rundown tenements. She tells her story in a series of vignettes, as she tries to rise above the hopelessness of her surroundings and come into her own power.",103,4,2,9780680000000,oth
31,"The Truth About Forever",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362767907l/51737.jpg,"Sarah Dessen",2004,en,"The summer after her father's death, Macy plans to work at the library and wait for her brainy boyfriend to return from camp; instead, she goes to work at a catering business where she makes new friends and finally faces her grief.",374,3,2,9780760000000,oth
32,"I Capture the Castle",https://m.media-amazon.com/images/I/51neEdqxqQL.jpg,"Dodie Smith",1948,en,"Seventeen-year-old Cassandra Mortmain lives with her older sister, blocked-writer father and bohemian stepmother in a crumbling English castle. Then, a well-to-do American family buys the castle, becoming the Mortmains' landlords. Cassandra uses a diary to record the tumultuous months that follow.",352,2,3,9780310000000,oth
33,"Before I Fall",https://images.moviesanywhere.com/a526ddf48069b75a18b66c08620ab5a5/bd6924b0-fcff-4796-9bfa-420188ec8e86.jpg,"Lauren Oliver",2010,en,"Popular, thoughtless Samantha dies in a fiery car crash â€” but wakes up the next morning, and ends up living out her last day alive seven times in a row, until she finally unravels the mystery of her death.",480,2,4,9780060000000,oth
34,Unwind,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/UnwindBookCover.JPG/220px-UnwindBookCover.JPG,"Neal Shusterman",2007,en,"In a future world where those between the ages of 13 and 18 can have their lives ""unwound"" and their body parts harvested for use by others, three teens go to extreme lengths to survive until they turn 18.",335,3,1,9781420000000,oth
35,"The Last Unicorn",https://upload.wikimedia.org/wikipedia/en/2/27/The_Last_Unicorn_%281982%29_theatrical_poster.jpg,"Peter S. Beagle",1968,en,"The last unicorn leaves the protection of her enchanted lavender forest to search for her own kind, with the assistance of Schmedrick, the only occasionally successful magician, and dreamer Molly Grue.",218,4,2,9781600000000,oth
36,"If I Stay",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1380411027i/806676.jpg,"Gayle Forman",2009,en,"Seventeen-year-old Mia is in a coma after a terrible car accident that killed her parents. Awakening, she has no memory of the accident, and must put her life back together piece by piece â€” and decide what to do with it.",210,2,4,9780140000000,oth
37,"The Blue Sword",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563198223l/407813._SY475_.jpg,"Robin McKinley",1982,en,"Harry Crewe's boring life in the remote orange-growing province of Daria is disrupted when she's kidnapped by a native king. She discovers power within herself and becomes the heroic Harimad-sol, King's Rider and heir to a magical sword.",320,4,2,9780440000000,oth
38,"The Goose Girl",https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/The_Goose_Girl.jpg/200px-The_Goose_Girl.jpg,"Shannon Hale",2003,en,"On her way to marry a prince she's never met, Princess Anidori is betrayed by her guards and her lady-in-waiting, and must become a goose girl to survive until she can reveal her true identity and reclaim the crown that is rightfully hers.",383,3,1,9781580000000,oth
39,"Daughter of Smoke & Bone",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461353773l/8490112.jpg,"Laini Taylor",2011,en,"Seventeen-year-old Karou, a lovely, enigmatic art student living in Prague, has a necklace of wish-granting beads and a sketchbook of hideous, frightening monsters â€” the chimaerae who form the only family she has ever known.",418,4,1,9780320000000,oth
40,"The house of the scorpion",https://upload.wikimedia.org/wikipedia/en/d/de/TheHouseoftheScorpion.jpg,"Nancy Farmer",2002,en,"In a future where humans despise clones, Matt enjoys special status as the young clone of El Patron, the 142-year-old leader of a corrupt drug empire nestled between Mexico and the United States. Escape is his only chance to survive â€” but even that may not save him.",380,3,2,9780690000000,oth
41,"Anna and the French Kiss",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358271931l/6936382.jpg,"Stephanie Perkins",2010,en,"When Anna's romance-novelist father sends her to an elite American boarding school in Paris for her senior year of high school, she goes reluctantly â€” and meets the amazing Etienne St. Clair. Will their year of near-misses lead to love?",372,4,1,9780140000000,oth
42,"Le Petit Prince","https://images-na.ssl-images-amazon.com/images/I/51364NhwLoL._SX329_BO1,204,203,200_.jpg","Antoine de Saint-ExupÃ©ry",1943,fr,"Le Petit Prince is an enchanting little tale about an aviator's chance meeting with a little boy who happens to be visiting Earth from another planet. The aviator crashes in the Sahara desert and damages his airplane to the point where he cannot fly any longer.",140,1,4,9782070000000,oth
43,"The Stranger",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002l/49552._SY475_.jpg,"Albert Camus",1942,fr,"Meursault, the narrator, is a young man living in Algiers. After receiving a telegram informing him of his mother's death, he takes a bus to Marengo, where his mother had been living in an old persons' home. He sleeps for almost the entire trip. When he arrives, he speaks to the director of the home.",159,2,1,9782070000000,oth
44,Caligrammes,https://images.ucpress.edu/covers/isbn13/9780520242128.jpg,"Guillaume Apollinaire",1918,fr,"A calligram is thus a combination of poetry and visual art. Calligrams can be found in many cultures and civilizations throughout history. This form of art is particularly revered in the Islamic world. In Islam, visually representing divinity is forbidden, so calligrams are used to adorn religious and sacred texts.",500,2,3,9780520000000,oth
45,"Le pere Goriot",https://assets.onbuy.com/i11/product/b2ebefdb8a8546fbbf20f8340ec80b75-l10336014/le-pere-goriot-dhonore-de-balzac.jpg,"Honore de Balzac",1819,fr,"The novel opens with an extended description of the Maison Vauquer, a boarding house in Paris' rue Neuve-Sainte-GeneviÃ¨ve covered with vines, owned by the widow Madame Vauquer. The residents include the law student EugÃ¨ne de Rastignac, a mysterious agitator named Vautrin, and an elderly retired vermicelli-maker named Jean-Joachim Goriot. The old man is ridiculed frequently by the other boarders, who soon learn that he has bankrupted himself to support his two well-married daughters.",50,2,4,9782250000000,oth
46,"Contes de la BÃ©casseâ€",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.cdiscount.com%2Flivres-bd%2Flivres-scolaire-universitaire%2Fcontes-de-la-becasse%2Ff-10513560801-9782047353790.html&psig=AOvVaw0JSEmlZVImJvIpjpngJQOb&ust=1636314062465000&source=images&cd=vfe&ved=0CAsQ,"Guy de Maupassant",2013,fr,"Chaque automne, un vieux chasseur rÃ©galait ses amis de bÃ©casses. Les tÃªtes de ces dÃ©licieux oiseaux Ã©taient donnÃ©s Ã  un seul convive dÃ©signÃ© par le sort. Et ce dernier, pour dÃ©dommager les autres, devait raconter une histoire. Les seize nouvelles de ce recueil se situent presque toutes en Normandie oÃ¹ Maupassant vÃ©cut une jeunesse heureuse. Ses paysans chasseurs, ses aristocrates, sa rempailleuse, ses pÃªcheurs sont saisis sur le vif dans leur vie quotidienne. La folie de la femme qui a perdu toute sa famille, l'avarice sordide de la maÃ®tresse du petit chien, la triste vieillesse des danseurs de menuets, la revanche de l'Ã©pouse bafouÃ©e, Maupassant voit tout dans les dÃ©tails les plus poignants.",157,2,1,9781491076743,oth
47,"à®ªà¯Šà®©à¯à®©à®¿à®¯à®¿à®©à¯ à®šà¯†à®²à¯à®µà®©à¯(Ponniyin Selvan)",https://www.google.com/url?sa=i&url=https%3A%2F%2Fta.wikipedia.org%2Fwiki%2F%25E0%25AE%25AA%25E0%25AF%258A%25E0%25AE%25A9%25E0%25AF%258D%25E0%25AE%25A9%25E0%25AE%25BF%25E0%25AE%25AF%25E0%25AE%25BF%25E0%25AE%25A9%25E0%25AF%258D_%25E0%25AE%259A%25E0%25AF%25,"Kalki Krishnamurthy",1954,tm,"à®ªà¯Šà®©à¯à®©à®¿à®¯à®¿à®©à¯ à®šà¯†à®²à¯à®µà®©à¯ - à®…à®®à®°à®°à¯ à®•à®²à¯à®•à®¿ à®Žà®´à¯à®¤à®¿à®¯ à®ªà¯à®•à®´à¯ à®ªà¯†à®±à¯à®± à®¤à®®à®¿à®´à¯ à®µà®°à®²à®¾à®±à¯à®±à¯‚à®ªà¯ à®ªà¯à®¤à®¿à®©à®®à®¾à®•à¯à®®à¯. 1950 - 1955 à®†à®£à¯à®Ÿà¯ à®µà®°à¯ˆ à®•à®²à¯à®•à®¿ à®µà®¾à®° à®‡à®¤à®´à®¿à®²à¯ à®¤à¯Šà®Ÿà®°à¯à®•à®¤à¯ˆà®¯à®¾à®• à®µà¯†à®³à®¿à®¯à®¿à®Ÿà®ªà¯à®ªà®Ÿà¯à®Ÿà®¤à¯. à®‡à®ªà¯ à®ªà¯à®¤à®¿à®©à®¤à¯à®¤à¯à®•à¯à®•à¯à®•à¯ à®•à®¿à®Ÿà¯ˆà®¤à¯à®¤ à®®à®•à¯à®•à®³à¯ à®†à®¤à®°à®µà¯ à®•à®¾à®°à®£à®®à®¾à®•à®¤à¯ à®¤à¯Šà®Ÿà®°à¯à®¨à¯à®¤à¯à®®à¯ à®ªà®²à¯à®µà¯‡à®±à¯ à®•à®¾à®²à®•à®Ÿà¯à®Ÿà®™à¯à®•à®³à®¿à®²à¯ à®‡à®¤à¯‡ à®ªà¯à®¤à®¿à®©à®¤à¯à®¤à¯ˆà®•à¯ à®•à®²à¯à®•à®¿ à®‡à®¤à®´à¯ à®¤à¯Šà®Ÿà®°à®¾à®• à®µà¯†à®³à®¿à®¯à®¿à®Ÿà¯à®Ÿà®¤à¯.",2600,1,2,9788180000000,oth
48,"à®šà®¿à®² à®¨à¯‡à®°à®™à¯à®•à®³à®¿à®²à¯ à®šà®¿à®² à®®à®©à®¿à®¤à®°à¯à®•à®³à¯ (Sila Nerangalil Sila Manithargal)",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goodreads.com%2Fbook%2Fshow%2F7465733-sila-nerangalil-sila-manithargal&psig=AOvVaw0hQ17CtDtJblIVO4jQHNux&ust=1636314771160000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNjK_-_BhPQCFQAAAAAdAAAAABAD,Jayakanthan,1976,tm,"à®šà®¿à®² à®¨à¯‡à®°à®™à¯à®•à®³à®¿à®²à¯ à®šà®¿à®² à®®à®©à®¿à®¤à®°à¯à®•à®³à¯' - à®Žà®´à¯à®¤à¯à®¤à®¾à®³à®°à¯ à®œà¯†à®¯à®•à®¾à®¨à¯à®¤à®©à®¿à®©à¯ à®šà®¾à®•à®¿à®¤à¯à®¯ à®…à®•à®¾à®Ÿà¯†à®®à®¿ à®µà®¿à®°à¯à®¤à¯ à®ªà¯†à®±à¯à®± à®¨à®¾à®µà®²à¯. Anti-Brahminism à®¨à®¾à®µà®²à¯ à®Žà®©à¯à®±à¯ à®šà®°à¯à®šà¯à®šà¯ˆà®•à¯à®•à¯à®®à¯ à®‰à®³à¯à®³à®¾à®©à®¤à¯. à®…à®¤à¯‡ à®ªà¯†à®¯à®°à®¿à®²à¯ à®ªà®Ÿà®®à®¾à®•à¯à®•à®ªà¯à®ªà®Ÿà¯à®Ÿà¯ à®¤à¯‡à®šà®¿à®¯ à®µà®¿à®°à¯à®¤à¯à®®à¯ à®ªà¯†à®±à¯à®±à®¤à¯.",396,4,2,9789380000000,oth
